id,title,description,availability,condition,price,sale_price,link,image_link,brand,google_product_category,product_type,gtin,mpn
SHOE_001,Classic Runner,Classic running shoe for everyday training,out of stock,new,45.00 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/shoe_001.jpg,TestBrand,187,Clothing > Shoes > Athletic,,
BAG_002,Canvas Weekender,Large canvas weekender bag for travel,in stock,new,89.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/bag_002.jpg,TestBrand,187,Bags > Travel,,,
HAT_003,Bucket Hat,Classic bucket hat for sun protection,in stock,new,29.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/hat_003.jpg,TestBrand,187,Accessories > Hats,4901234567891,HAT-003-TAN
SCARF_004,Wool Scarf,Warm wool scarf for cold weather,in stock,new,34.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/scarf_004.jpg,TestBrand,187,Accessories > Scarves,4901234567892,SCRF-004-RED
PANT_005,Slim Chino,Classic slim-fit chino trousers,in stock,new,59.99 USD,59.99 USD,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/pant_005.jpg,TestBrand,187,Clothing > Bottoms,4901234567893,CHNO-005-KHK
prod_123,Classic Leather Sneaker,Premium leather sneaker from the summer collection,in stock,new,89.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/sales_catalog_sales/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/prod_123.jpg,TestBrand,187,Clothing > Shoes,4901234567894,SNKR-123-WHT
BAG_001,Canvas Tote Bag,Lightweight canvas tote bag,in stock,new,45.00 EUR,,https://SBGBizEng.github.io/meta-ads-test-sites/sales_catalog_sales/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/bag_001.jpg,TestBrand,187,Bags > Totes,4901234567895,TOTE-001-NAT
BEAN_007,Wool Beanie,Warm wool beanie,in stock,new,89.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/sales_catalog_sales/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/bean_007.jpg,TestBrand,187,Accessories > Hats,4901234567896,BEAN-007-GRY
SHORT_02,Running Shorts,Lightweight running shorts,in stock,new,34.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/sales_catalog_sales/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/short_02.jpg,TestBrand,187,Clothing > Activewear,4901234567897,SHRT-02-BLK
SHOE_CATALOG_99,Air Runner (Catalog),Live video product,in stock,new,119.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/product_live_video/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/shoe_catalog_99.jpg,TestBrand,187,Clothing > Shoes,4901234567898,AIR-RUN-99
BAG_LIVE_02,Tote Bag (Live),Live video tote bag,in stock,new,65.00 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/product_live_video/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/bag_live_02.jpg,TestBrand,187,Bags > Totes,4901234567899,TOTE-LIVE-02
JACKET_CATALOG_04,Sport Jacket (Catalog),Live video jacket,in stock,new,189.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/product_live_video/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/jacket_catalog_04.jpg,TestBrand,187,Clothing > Outerwear,4901234567900,JCKT-CAT-04
JACKET_006,Denim Jacket,Denim jacket with classic styling,in stock,new,119.99 USD,,https://SBGBizEng.github.io/meta-ads-test-sites/opt_product_catalog/,https://SBGBizEng.github.io/meta-ads-test-sites/catalog/images/jacket_006.jpg,TestBrand,187,Clothing > Outerwear,4901234567901,DNIM-006-BLU
